ID_Venta,Fecha,Cliente,Ciudad,Producto,Cantidad,Precio_Unitario,Total,Clasificación
88,2025-03-01,Darren Larson,Bogotá,Monitor,9,1111021,9999189,Alta
89,2024-09-12,Natalie Greene,Barranquilla,Mouse,9,220036,1980324,Normal
90,2024-10-06,Angela Henry,Cali,Tablet,2,1662946,3325892,Normal
91,2024-08-07,Destiny Hanson,Cali,Mouse,1,578315,578315,Normal
92,2024-10-07,Brian Jones,Bogotá,Mouse,4,1223115,4892460,Normal
93,2024-05-09,Theresa Harmon,Cali,Tablet,4,651356,2605424,Normal
94,2024-06-29,Douglas Guzman,Cali,Monitor,2,1195572,2391144,Normal
95,2025-02-23,Debbie Stokes,Bogotá,Teclado,3,1078950,3236850,Normal
96,2024-05-24,Daniel Simmons,Cali,Tablet,3,1873695,5621085,Alta
97,2025-02-06,Katherine Rice,Cartagena,Tablet,5,1238016,6190080,Alta
98,2024-12-15,Teresa Carter,Medellín,Celular,1,267906,267906,Normal
99,2025-03-25,Anthony Morales,Medellín,Monitor,9,1824682,16422138,Alta
100,2025-01-07,Lisa Ward,Bogotá,Tablet,8,983372,7866976,Alta
101,2024-06-02,Ashley Thomas,Barranquilla,Teclado,8,383551,3068408,Normal
102,2024-05-15,Patricia Stanley,Bogotá,Laptop,3,1628021,4884063,Normal
103,2024-05-16,Natalie Jackson,Barranquilla,Monitor,2,1509270,3018540,Normal
104,2024-11-17,Thomas Gutierrez,Medellín,Celular,1,449801,449801,Normal
105,2024-04-25,Sharon Hill,Bogotá,Mouse,6,609522,3657132,Normal
106,2024-08-31,Anthony Kelly,Cartagena,Tablet,1,126403,126403,Normal
107,2024-11-01,Michael Spencer,Cali,Teclado,5,1422357,7111785,Alta
108,2025-02-17,Sarah Jensen,Barranquilla,Monitor,9,763972,6875748,Alta
109,2025-03-25,Max Collins Jr.,Cali,Teclado,9,1310058,11790522,Alta
110,2024-06-24,Lori Andersen,Cali,Teclado,4,1022664,4090656,Normal
111,2024-07-03,Jose Carter,Bogotá,Mouse,7,1208684,8460788,Alta
112,2024-08-14,Jacob Williams,Cali,Celular,7,1379323,9655261,Alta
113,2024-05-21,Linda Hinton,Cartagena,Monitor,4,500944,2003776,Normal
114,2025-03-11,Adrian Pitts,Cali,Tablet,5,300846,1504230,Normal
115,2024-10-27,Hannah Green,Bogotá,Celular,9,1371948,12347532,Alta
116,2025-04-04,Anthony Ross,Cartagena,Tablet,7,872660,6108620,Alta
117,2024-08-21,Keith Black,Medellín,Laptop,7,1998602,13990214,Alta
118,2024-04-17,Frank Schmitt,Cali,Teclado,7,380608,2664256,Normal
119,2024-11-28,Mrs. Nichole Richardson,Bogotá,Laptop,9,1049447,9445023,Alta
120,2025-04-02,Cheryl Cox,Medellín,Teclado,5,1965846,9829230,Alta
121,2025-03-12,Juan House,Medellín,Mouse,6,630207,3781242,Normal
122,2024-06-03,David Beasley,Barranquilla,Celular,3,1054596,3163788,Normal
123,2024-07-19,Heather Bean,Cartagena,Tablet,1,894229,894229,Normal
124,2024-08-05,Jeremy Lee,Cali,Mouse,2,282959,565918,Normal
125,2024-06-25,Kathleen Edwards,Bogotá,Tablet,8,188003,1504024,Normal
126,2025-01-16,Patricia Hutchinson,Barranquilla,Celular,1,1499992,1499992,Normal
127,2025-03-13,Crystal Diaz,Cartagena,Monitor,7,1616349,11314443,Alta
128,2025-01-26,Jordan Steele,Barranquilla,Laptop,5,1544850,7724250,Alta
129,2024-12-24,Kelly Hughes,Cartagena,Laptop,6,1776502,10659012,Alta
130,2024-06-14,Valerie Molina,Cartagena,Tablet,8,487804,3902432,Normal
131,2024-10-03,Kenneth Chavez,Cali,Tablet,4,334316,1337264,Normal
132,2024-08-22,Anthony Carey,Cartagena,Tablet,6,999343,5996058,Alta
133,2025-02-23,Danielle Santiago,Barranquilla,Celular,3,701845,2105535,Normal
134,2024-07-12,Blake Anderson,Cartagena,Monitor,7,1962266,13735862,Alta
135,2025-03-09,Caroline Pacheco,Cali,Laptop,2,1118887,2237774,Normal
136,2024-12-06,Johnny Sandoval,Cali,Mouse,8,1787954,14303632,Alta
137,2024-09-08,Derek Ramirez,Barranquilla,Teclado,7,774719,5423033,Alta
138,2024-11-19,Sarah Lucas,Medellín,Celular,8,191714,1533712,Normal
139,2025-01-16,Suzanne Anderson,Medellín,Laptop,2,1685778,3371556,Normal
140,2024-04-30,Derek Reyes,Cartagena,Monitor,3,762896,2288688,Normal
141,2025-01-22,Andrew Lewis MD,Bogotá,Celular,4,810431,3241724,Normal
142,2024-05-18,Marie Harvey,Cartagena,Mouse,9,745736,6711624,Alta
143,2024-05-29,Noah Garcia,Barranquilla,Laptop,5,133748,668740,Normal
144,2025-01-11,Emily Lester,Barranquilla,Celular,6,1974456,11846736,Alta
145,2024-08-27,Stephanie Spencer,Barranquilla,Laptop,1,1981140,1981140,Normal
146,2025-01-28,Timothy Quinn,Barranquilla,Laptop,4,1224598,4898392,Normal
147,2025-03-19,Cody Jones,Barranquilla,Monitor,4,495600,1982400,Normal
148,2025-02-06,Brittney Willis,Cali,Teclado,8,1061816,8494528,Alta
149,2024-09-19,Paige Poole,Medellín,Monitor,8,1128128,9025024,Alta
150,2024-10-18,Christopher Cuevas MD,Barranquilla,Laptop,6,469438,2816628,Normal
151,2024-05-26,Christopher Smith,Bogotá,Celular,8,1224899,9799192,Alta
152,2025-01-13,James Graham MD,Bogotá,Mouse,9,1575926,14183334,Alta
153,2024-07-29,Holly Sanford,Bogotá,Monitor,5,725530,3627650,Normal
154,2025-02-03,Sean Webb,Bogotá,Teclado,1,576398,576398,Normal
155,2025-01-09,Tammy Hudson,Cali,Laptop,1,1208696,1208696,Normal
156,2025-03-06,Taylor Payne,Bogotá,Mouse,2,160592,321184,Normal
157,2024-09-02,William Ware,Barranquilla,Monitor,2,829391,1658782,Normal
158,2024-09-18,Mark Compton,Cartagena,Monitor,5,1682749,8413745,Alta
159,2025-03-09,Angela Johnson,Bogotá,Monitor,7,511916,3583412,Normal
160,2024-04-07,Adam Hamilton,Cali,Monitor,7,508234,3557638,Normal
161,2025-01-14,Suzanne Haynes,Cali,Mouse,4,1277582,5110328,Alta
162,2024-04-08,Sara Gray,Bogotá,Celular,4,1244540,4978160,Normal
163,2025-01-05,Paul Richardson,Cartagena,Teclado,3,1112111,3336333,Normal
164,2025-03-20,Sheri Wilcox,Bogotá,Teclado,2,812421,1624842,Normal
165,2024-05-28,Angel Wilson,Cali,Laptop,3,1310970,3932910,Normal
166,2024-12-24,Oscar Jones,Medellín,Tablet,8,150073,1200584,Normal
167,2024-10-31,Karen Mccormick,Barranquilla,Celular,1,434794,434794,Normal
168,2024-11-15,Katrina Brock,Cali,Laptop,4,1960004,7840016,Alta
169,2025-03-06,David Copeland,Bogotá,Laptop,7,192290,1346030,Normal
170,2024-05-26,Eric Miles,Barranquilla,Monitor,5,1645625,8228125,Alta
171,2025-04-05,Joseph Hall,Bogotá,Tablet,2,562561,1125122,Normal
172,2024-05-11,Erica Graham,Bogotá,Tablet,1,1588096,1588096,Normal
173,2024-12-14,Sara Jones DDS,Medellín,Celular,6,969518,5817108,Alta
174,2025-01-03,Rebecca Moore,Barranquilla,Tablet,5,784609,3923045,Normal
175,2024-05-28,Amanda King,Barranquilla,Laptop,3,352028,1056084,Normal
176,2025-02-14,Michael Herring,Medellín,Tablet,9,1121139,10090251,Alta
177,2024-10-23,James Morton,Cali,Tablet,3,1890885,5672655,Alta
178,2024-08-29,Stephanie Parks,Bogotá,Teclado,2,1274955,2549910,Normal
179,2024-08-10,Philip Conway,Cartagena,Laptop,5,609364,3046820,Normal
180,2024-09-06,Craig Carter,Bogotá,Mouse,9,1874159,16867431,Alta
181,2024-10-02,Mark Ballard,Bogotá,Tablet,8,1383309,11066472,Alta
182,2024-09-05,Garrett Jones,Cali,Tablet,6,514339,3086034,Normal
183,2024-06-15,Melissa Baker,Bogotá,Monitor,3,1443815,4331445,Normal
184,2025-02-16,Matthew Stewart,Medellín,Tablet,6,1241547,7449282,Alta
185,2024-06-13,Ronald Hurley,Medellín,Tablet,5,1650419,8252095,Alta
186,2025-02-20,Kristen Nelson,Barranquilla,Teclado,1,1077689,1077689,Normal
187,2024-09-12,Shelley Morgan,Cartagena,Laptop,5,714751,3573755,Normal
188,2024-07-12,Regina Harvey,Bogotá,Celular,7,1661612,11631284,Alta
189,2025-02-12,Ronald Joyce,Bogotá,Laptop,9,809244,7283196,Alta
190,2025-03-13,Heather Anderson,Cali,Monitor,1,1398244,1398244,Normal
191,2024-12-12,Jessica Morris,Medellín,Laptop,3,105291,315873,Normal
192,2024-06-05,Tracy West,Cartagena,Tablet,8,534409,4275272,Normal
193,2024-10-14,Mary Scott,Barranquilla,Monitor,6,1786708,10720248,Alta
194,2025-02-08,Brittany Logan,Medellín,Laptop,5,889554,4447770,Normal
195,2024-12-25,Amanda Thomas,Barranquilla,Monitor,2,629164,1258328,Normal
196,2025-01-03,Jaime Holt,Cali,Celular,3,1391658,4174974,Normal
197,2025-01-15,Amanda Hernandez,Cali,Laptop,2,567876,1135752,Normal
198,2024-06-24,Lori Morton,Bogotá,Mouse,1,157147,157147,Normal
199,2025-03-30,Derrick Simmons,Cartagena,Tablet,7,232895,1630265,Normal
200,2024-09-24,Jennifer Montoya DDS,Barranquilla,Monitor,3,939084,2817252,Normal
201,2025-01-12,Victoria Gibson,Medellín,Mouse,7,726665,5086655,Alta
202,2024-05-17,Melissa Sherman,Cali,Mouse,7,1012657,7088599,Alta
203,2024-07-07,Kristen Houston,Bogotá,Teclado,8,1862140,14897120,Alta
204,2024-11-25,Sean Evans,Bogotá,Monitor,1,1592174,1592174,Normal
205,2025-01-07,Lori Mack,Barranquilla,Mouse,5,1552179,7760895,Alta
206,2024-05-02,Brandon Liu,Cali,Teclado,9,726987,6542883,Alta
207,2024-08-23,Lauren Walker,Cartagena,Mouse,7,335427,2347989,Normal
208,2024-11-27,Kim Espinoza,Cali,Tablet,1,1903716,1903716,Normal
209,2024-08-27,Theresa Fitzgerald,Barranquilla,Celular,8,643268,5146144,Alta
210,2025-03-16,Lindsay Walker,Barranquilla,Teclado,3,517440,1552320,Normal
211,2024-04-18,Jacob Smith,Cali,Celular,4,1417841,5671364,Alta
212,2024-08-08,Jason Mccoy,Barranquilla,Monitor,4,304562,1218248,Normal
213,2024-04-17,Andrew Garcia,Cali,Tablet,8,352703,2821624,Normal
214,2025-03-21,Roberto Martinez,Medellín,Teclado,1,837813,837813,Normal
215,2024-12-31,Kevin Romero,Cali,Monitor,8,183176,1465408,Normal
216,2025-01-31,Matthew King,Cali,Mouse,9,675097,6075873,Alta
217,2025-01-13,Gloria Cuevas,Barranquilla,Laptop,9,748320,6734880,Alta
218,2024-08-06,Joanne Pennington,Barranquilla,Monitor,5,439765,2198825,Normal
219,2025-01-31,John Vazquez,Bogotá,Celular,4,216440,865760,Normal
220,2024-07-16,Melissa Rogers,Bogotá,Tablet,4,385241,1540964,Normal
221,2024-07-23,Gloria Castro,Medellín,Tablet,9,1151554,10363986,Alta
222,2024-04-27,Garrett Levy,Bogotá,Monitor,8,1283980,10271840,Alta
223,2024-08-17,Dawn Graham,Cali,Mouse,7,447717,3134019,Normal
224,2024-11-08,Sara Miller,Barranquilla,Laptop,3,332389,997167,Normal
225,2024-10-01,Crystal Miranda,Bogotá,Celular,4,1403228,5612912,Alta
226,2025-03-22,Dr. Scott George PhD,Bogotá,Monitor,9,901521,8113689,Alta
227,2024-07-27,Summer Williams,Medellín,Monitor,8,489694,3917552,Normal
228,2024-09-20,David Le,Medellín,Tablet,1,1467524,1467524,Normal
229,2024-06-23,Joseph Cooper,Cali,Celular,3,1868688,5606064,Alta
230,2024-04-26,Eric Long,Barranquilla,Laptop,2,572760,1145520,Normal
231,2025-03-14,Kimberly Diaz,Medellín,Tablet,2,1726882,3453764,Normal
232,2025-02-01,Katelyn Cole,Bogotá,Monitor,8,1035652,8285216,Alta
233,2024-11-20,Johnathan Alexander,Barranquilla,Tablet,6,1275774,7654644,Alta
234,2024-04-07,Vincent Lowery,Barranquilla,Tablet,6,1919746,11518476,Alta
235,2024-12-15,Katherine Parker,Bogotá,Teclado,4,1414550,5658200,Alta
236,2024-10-24,Christine Myers,Medellín,Tablet,1,1007820,1007820,Normal
237,2024-12-19,Justin Walker,Bogotá,Mouse,7,1479214,10354498,Alta
238,2024-05-22,Cheryl Chang,Barranquilla,Tablet,8,487344,3898752,Normal
239,2025-01-27,Tracy Garcia,Cartagena,Mouse,2,1961006,3922012,Normal
240,2024-12-30,Charles Rodriguez,Cartagena,Celular,2,1310325,2620650,Normal
241,2024-11-22,Andrew Graham,Cali,Tablet,1,1177677,1177677,Normal
242,2024-09-29,Eric Castillo,Bogotá,Laptop,4,600234,2400936,Normal
243,2025-03-08,Robert Weaver,Bogotá,Mouse,6,340575,2043450,Normal
244,2024-04-07,Rebecca Choi,Cali,Mouse,5,482299,2411495,Normal
245,2024-06-19,Todd Webb,Cali,Monitor,4,1679917,6719668,Alta
246,2024-11-26,Christine Preston,Cali,Celular,4,236742,946968,Normal
247,2025-02-13,Jennifer Kelley,Barranquilla,Tablet,7,995426,6967982,Alta
248,2025-03-10,Douglas Kelly,Bogotá,Laptop,7,736854,5157978,Alta
249,2025-01-31,Courtney May,Barranquilla,Monitor,2,1786515,3573030,Normal
250,2024-06-29,Charles Williams,Cali,Celular,7,241353,1689471,Normal
251,2024-07-12,Jason Rivera,Bogotá,Mouse,2,314730,629460,Normal
252,2024-10-26,James Chen,Barranquilla,Laptop,4,1201917,4807668,Normal
253,2024-07-30,Danielle Martinez,Barranquilla,Tablet,1,168069,168069,Normal
254,2025-01-16,Stephanie Harvey,Cali,Teclado,5,558291,2791455,Normal
255,2024-09-02,Teresa Jimenez,Bogotá,Teclado,1,1858357,1858357,Normal
256,2024-05-20,Steven Salazar,Cali,Celular,4,1601900,6407600,Alta
257,2024-06-05,Benjamin Vargas,Bogotá,Laptop,9,427467,3847203,Normal
258,2024-06-13,Jennifer Jones,Cartagena,Monitor,8,446482,3571856,Normal
259,2024-08-10,Alexander Jimenez,Medellín,Laptop,6,858740,5152440,Alta
260,2024-04-19,Laurie Brown,Medellín,Mouse,8,1896794,15174352,Alta
261,2025-02-26,Tina Lawson,Medellín,Teclado,5,870532,4352660,Normal
262,2024-05-21,John Edwards,Cali,Celular,7,510264,3571848,Normal
263,2024-09-29,Christopher Garrett,Cartagena,Tablet,8,807966,6463728,Alta
264,2024-10-04,Rachel Brown,Bogotá,Laptop,7,1132819,7929733,Alta
265,2024-11-21,Dana Sharp,Barranquilla,Teclado,4,1944884,7779536,Alta
266,2025-01-22,Tara Yang,Bogotá,Monitor,5,551291,2756455,Normal
267,2024-06-26,Justin Taylor,Barranquilla,Celular,6,202591,1215546,Normal
268,2024-12-23,Michael Smith,Bogotá,Tablet,6,1392008,8352048,Alta
269,2024-09-20,Anthony Gonzalez,Cartagena,Laptop,9,1163747,10473723,Alta
270,2024-09-10,Megan Taylor,Barranquilla,Monitor,2,404348,808696,Normal
271,2024-07-09,James Curry,Cali,Tablet,6,1546958,9281748,Alta
272,2024-05-06,Eugene Smith,Bogotá,Mouse,3,1617694,4853082,Normal
273,2025-02-09,Douglas Juarez,Bogotá,Teclado,2,930166,1860332,Normal
274,2024-09-27,Matthew Miller,Barranquilla,Mouse,6,1929894,11579364,Alta
275,2024-09-26,Kevin Smith,Cali,Teclado,4,1096023,4384092,Normal
276,2024-11-10,Penny Stewart,Cali,Monitor,5,1538259,7691295,Alta
277,2025-01-01,Vincent Klein,Cartagena,Mouse,5,720909,3604545,Normal
278,2024-09-13,Kenneth Olson,Cali,Teclado,3,881357,2644071,Normal
279,2024-10-31,Ronald Mercer,Cali,Celular,4,1929256,7717024,Alta
280,2025-02-22,Angela Richardson,Cali,Monitor,3,819801,2459403,Normal
281,2024-06-04,Rebecca Daniel,Medellín,Teclado,7,669366,4685562,Normal
282,2024-08-18,Thomas Perez,Cartagena,Laptop,1,1962786,1962786,Normal
283,2024-06-25,Alexander Nguyen,Bogotá,Teclado,6,832286,4993716,Normal
284,2024-08-28,Jacqueline Vaughn,Barranquilla,Mouse,4,776284,3105136,Normal
285,2025-01-24,William Hart,Bogotá,Celular,1,1194408,1194408,Normal
286,2024-06-05,Christina Thompson,Cartagena,Tablet,1,732828,732828,Normal
287,2025-02-24,Joshua Mendoza,Barranquilla,Tablet,5,861140,4305700,Normal
288,2024-10-22,Angela Thompson,Cartagena,Teclado,5,1739107,8695535,Alta
289,2024-10-06,James Cortez,Cali,Tablet,7,1648720,11541040,Alta
290,2024-11-25,Brett Jackson,Barranquilla,Teclado,4,1042552,4170208,Normal
291,2024-11-15,Luis Rios,Cali,Celular,9,1394277,12548493,Alta
292,2025-02-28,Margaret Lee,Bogotá,Tablet,4,1705679,6822716,Alta
293,2024-11-18,Joshua Garrett,Bogotá,Mouse,7,921114,6447798,Alta
294,2024-09-16,Tiffany Livingston,Barranquilla,Mouse,5,1690353,8451765,Alta
295,2024-12-02,Kristen Thompson,Barranquilla,Laptop,5,1528588,7642940,Alta
296,2024-07-14,Stacy Garza,Cartagena,Teclado,6,884646,5307876,Alta
297,2024-07-29,Mark Goodwin,Cartagena,Tablet,8,1076738,8613904,Alta
298,2024-11-05,Christopher Ball,Cali,Mouse,5,1000126,5000630,Alta
299,2024-09-07,Antonio Wilson,Barranquilla,Celular,3,1468421,4405263,Normal
300,2024-07-04,Amanda Jones,Bogotá,Celular,6,338047,2028282,Normal
301,2024-12-31,Terry Williams,Cartagena,Laptop,2,1853954,3707908,Normal
302,2024-12-24,Colin Case,Cartagena,Celular,8,1291100,10328800,Alta
303,2025-02-18,Jimmy Jones,Bogotá,Celular,8,915067,7320536,Alta
304,2024-10-31,Jeremiah Gross,Cartagena,Tablet,3,329355,988065,Normal
305,2025-01-03,Jason Burke,Cali,Teclado,8,1247908,9983264,Alta
306,2024-12-11,Shelly Cooley,Barranquilla,Monitor,9,521149,4690341,Normal
307,2025-04-05,Kelsey Mendez,Bogotá,Celular,5,1576373,7881865,Alta
308,2024-12-20,Natalie Byrd,Barranquilla,Celular,5,1922352,9611760,Alta
309,2024-12-21,James Allen,Cartagena,Monitor,6,1580073,9480438,Alta
310,2025-03-19,John May,Cartagena,Celular,7,1004646,7032522,Alta
311,2024-08-06,Mark Garner,Bogotá,Tablet,3,776547,2329641,Normal
312,2024-11-09,Emma Smith,Cali,Tablet,5,1957961,9789805,Alta
313,2024-07-28,Ryan Walker,Medellín,Monitor,1,1566494,1566494,Normal
314,2024-04-12,Stephanie Franco,Bogotá,Mouse,5,1416998,7084990,Alta
315,2025-03-28,Gabriel Carpenter,Medellín,Celular,4,1324214,5296856,Alta
316,2024-07-28,Nicole Tran DDS,Medellín,Mouse,1,159722,159722,Normal
317,2025-02-01,Justin Davis,Cali,Celular,7,380180,2661260,Normal
318,2024-10-23,Jeremy Trevino,Medellín,Teclado,1,1261607,1261607,Normal
319,2025-03-11,Lindsay Bullock,Medellín,Celular,8,779943,6239544,Alta
320,2024-08-18,Brian Clark,Cali,Tablet,2,956676,1913352,Normal
321,2024-09-10,Luis Johnson,Medellín,Laptop,5,240548,1202740,Normal
322,2024-06-16,Helen Warner DDS,Medellín,Laptop,6,1743718,10462308,Alta
323,2024-05-16,Carolyn Ward,Medellín,Laptop,9,194805,1753245,Normal
324,2024-08-07,John Smith,Bogotá,Laptop,7,531843,3722901,Normal
325,2024-08-05,Kristen Wallace,Bogotá,Mouse,6,1062945,6377670,Alta
326,2024-09-26,Carmen Anderson,Bogotá,Mouse,5,1007735,5038675,Alta
327,2024-07-13,Andrew Garcia,Cali,Celular,6,255826,1534956,Normal
328,2024-06-01,James Gillespie,Cartagena,Mouse,4,1646689,6586756,Alta
329,2024-11-26,Anita Dudley,Medellín,Celular,1,906411,906411,Normal
330,2024-04-10,Alexis Hart,Medellín,Teclado,9,956878,8611902,Alta
331,2025-01-04,Kelly Nunez,Cali,Celular,5,292233,1461165,Normal
332,2024-07-28,Samuel Ford,Medellín,Laptop,8,398166,3185328,Normal
333,2024-07-25,Ian Sullivan,Bogotá,Monitor,7,1080761,7565327,Alta
334,2024-07-18,Jeffrey Kelly,Cartagena,Monitor,8,1677317,13418536,Alta
335,2024-11-13,Chelsea Serrano,Barranquilla,Tablet,1,938007,938007,Normal
336,2025-03-24,John Byrd,Medellín,Tablet,9,1730124,15571116,Alta
337,2024-07-06,Timothy Hoffman,Bogotá,Celular,1,1890653,1890653,Normal
